timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1696789298004,23752,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-938,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,23751
1696789297625,24131,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-507,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24131
1696789297623,24133,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-434,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24133
1696789297971,23785,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-981,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,23785
1696789297704,24052,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-705,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24052
1696789297621,24135,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-551,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24135
1696789297930,23826,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-849,text,false,Test failed: code expected to contain /200/,3654,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,23826
1696789297918,23838,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-816,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,23838
1696789297975,23781,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-887,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,23781
1696789298008,23748,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-1016,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,23748
1696789297975,23781,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-886,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,23781
